ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_loc;crash_mont;crash_time;crash_year;crsh_sevri;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_defects;rd_surface;rural_urba;speed_limi;weather;workzone_i
Yes;70;70;With Traffic;K: Killed;Travel Lane;White;Male;Carrboro;Orange;No;Saturday;Non-Intersection;July;10:12;2011;K: Killed;70;70;No;11-15 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;20-24;24;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Tuesday;Non-Intersection;February;17:11;2012;C: Possible Injury;Unknown;Unknown;Missing;6-10 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;3.0;Straight - Level;State Secondary Route;None;Coarse Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;25-29;26;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Durham;Durham;No;Tuesday;Non-Intersection;February;19:15;2008;B: Evident Injury;Unknown;Unknown;Missing;41-45 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Urban;40 - 45  MPH;Clear;No
Yes;30-39;33;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Sunday;Intersection;December;12:09;2008;B: Evident Injury;70;70;No;16-20 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;40-49;41;With Traffic;B: Evident Injury;Travel Lane;White;Female;None - Rural Crash;Durham;No;Wednesday;Intersection;September;8:40;2011;B: Evident Injury;70;70;No;6-10 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;11-15;12;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Tuesday;Intersection;March;15:24;2008;B: Evident Injury;40-49;49;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Bottom;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;Unknown;0;Facing Traffic;Unknown Injury;Travel Lane;Unknown/Missing;Unknown;Chapel Hill;Orange;No;Monday;Non-Intersection;April;18:27;2012;O: No Injury;25-29;27;No;31-35 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);1 lane;2.0;Curve - Grade;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;20-24;23;With Traffic;O: No Injury;Travel Lane;White;Female;Carrboro;Orange;No;Friday;Non-Intersection;August;20:06;2008;O: No Injury;50-59;57;No;6-10 mph;O: No Injury;White;Male;No;No;Dusk;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;6-10;10;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Thursday;Intersection;October;15:13;2010;B: Evident Injury;20-24;21;No;16-20 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;40-49;45;With Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Non-Intersection;November;20:49;2013;C: Possible Injury;25-29;26;No;31-35 mph;O: No Injury;Black;Female;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;30 - 35  MPH;Cloudy;No
