ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
Yes;70;70;With Traffic;K: Killed;Travel Lane;White;Male;Carrboro;Orange;No;Saturday;Motorist Overtaking Bicyclist;Non-Intersection;July;10:12;Motorist Overtaking - Bicyclist Swerved;2011;K: Killed;Commercial;70;70;No;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
No;20-24;24;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Tuesday;Motorist Left Turn / Merge;Non-Intersection;February;17:11;Motorist Left Turn - Opposite Direction;2012;C: Possible Injury;Farms, Woods, Pastures;Unknown;Unknown;Missing;6-10 mph;Unknown Injury;Unknown/Missing;Unknown;Passenger Car;No;Yes;Daylight;Rural (<30% Developed);2 lanes;3.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Coarse Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;25-29;26;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Durham;Durham;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;February;19:15;Motorist Overtaking - Other / Unknown;2008;B: Evident Injury;Residential;Unknown;Unknown;Missing;41-45 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;30-39;33;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Sunday;Motorist Left Turn / Merge;Intersection;December;12:09;Motorist Left Turn - Opposite Direction;2008;B: Evident Injury;Residential;70;70;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Missing;Clear;No
Yes;40-49;41;With Traffic;B: Evident Injury;Travel Lane;White;Female;None - Rural Crash;Durham;No;Wednesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;September;8:40;Motorist Drive Out - Sign-Controlled Intersection;2011;B: Evident Injury;Farms, Woods, Pastures;70;70;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Rural;40 - 45  MPH;Stop Sign;Clear;No
Yes;11-15;12;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;March;15:24;Motorist Drive Out - Sign-Controlled Intersection;2008;B: Evident Injury;Residential;40-49;49;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Bottom;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
No;Unknown;0;Facing Traffic;Unknown Injury;Travel Lane;Unknown/Missing;Unknown;Chapel Hill;Orange;No;Monday;Bicyclist Left Turn / Merge;Non-Intersection;April;18:27;Bicyclist Left Turn - Opposite Direction;2012;O: No Injury;Residential;25-29;27;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);1 lane;2.0;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;20-24;23;With Traffic;O: No Injury;Travel Lane;White;Female;Carrboro;Orange;No;Friday;Motorist Failed to Yield - Midblock;Non-Intersection;August;20:06;Motorist Drive Out - Commercial Driveway / Alley;2008;O: No Injury;Residential;50-59;57;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Dusk;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;Missing;Clear;No
Yes;6-10;10;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;October;15:13;Bicyclist Ride Through - Sign-Controlled Intersection;2010;B: Evident Injury;Residential;20-24;21;No;16-20 mph;O: No Injury;White;Male;Single Unit Truck (2-Axle, 6-Tire);No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;40-49;45;With Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Motorist Overtaking Bicyclist;Non-Intersection;November;20:49;Motorist Overtaking - Undetected Bicyclist;2013;C: Possible Injury;Commercial;25-29;26;No;31-35 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;No Control Present;Cloudy;No
